
2025/12/11 (19:12:52) | ===> btop++ v.1.3.0
2025/12/11 (19:12:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/12/11 (19:12:52) | ===> btop++ v.1.3.0
2025/12/11 (19:12:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/12/11 (19:12:52) | ===> btop++ v.1.3.0
2025/12/11 (19:12:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/12/11 (19:14:15) | ===> btop++ v.1.3.0
2025/12/11 (19:14:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/12/11 (19:14:27) | ===> btop++ v.1.3.0
2025/12/11 (19:14:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
